n_universo,k_value,tiempo_(micro_segundos),iteracion,cantidad_valores_en_arreglo
12,9,3,1,100000000
12,10,44,1,100000000
12,11,2,1,100000000
12,12,2,1,100000000
12,13,2,1,100000000
12,1,43,2,100000000
12,2,12,2,100000000
12,3,8,2,100000000
12,4,6,2,100000000
12,5,5,2,100000000
12,6,4,2,100000000
12,7,4,2,100000000
12,8,3,2,100000000
12,9,3,2,100000000
12,10,3,2,100000000
12,11,2,2,100000000
12,12,2,2,100000000
12,13,2,2,100000000
12,1,32,3,100000000
12,2,14,3,100000000
12,3,10,3,100000000
12,4,7,3,100000000
12,5,6,3,100000000
12,6,5,3,100000000
12,7,5,3,100000000
12,8,4,3,100000000
12,9,4,3,100000000
12,10,4,3,100000000
12,11,4,3,100000000
12,12,4,3,100000000
12,13,2,3,100000000
12,1,40,4,100000000
12,2,18,4,100000000
12,3,17,4,100000000
12,4,12,4,100000000
12,5,10,4,100000000
12,6,10,4,100000000
12,7,8,4,100000000
12,8,7,4,100000000
12,9,6,4,100000000
12,10,4,4,100000000
12,11,4,4,100000000
12,12,4,4,100000000
12,13,3,4,100000000
12,1,26,5,100000000
12,2,11,5,100000000
12,3,7,5,100000000
12,4,6,5,100000000
12,5,4,5,100000000
12,6,39,5,100000000
12,7,64,5,100000000
12,8,39,5,100000000
12,9,3,5,100000000
12,10,3,5,100000000
12,11,2,5,100000000
12,12,2,5,100000000
12,13,2,5,100000000
12,1,44,6,100000000
12,2,23,6,100000000
12,3,9,6,100000000
12,4,7,6,100000000
12,5,5,6,100000000
12,6,4,6,100000000
12,7,4,6,100000000
12,8,3,6,100000000
12,9,3,6,100000000
12,10,3,6,100000000
12,11,2,6,100000000
12,12,2,6,100000000
12,13,2,6,100000000
12,1,27,7,100000000
12,2,11,7,100000000
12,3,8,7,100000000
12,4,6,7,100000000
12,5,5,7,100000000
12,6,99,7,100000000
12,7,4,7,100000000
12,8,39,7,100000000
12,9,3,7,100000000
12,10,3,7,100000000
12,11,2,7,100000000
12,12,2,7,100000000
12,13,2,7,100000000
12,1,61,8,100000000
12,2,18,8,100000000
12,3,17,8,100000000
12,4,10,8,100000000
12,5,6,8,100000000
12,6,6,8,100000000
12,7,5,8,100000000
12,8,4,8,100000000
12,9,4,8,100000000
12,10,3,8,100000000
12,11,3,8,100000000
12,12,3,8,100000000
12,13,3,8,100000000
12,1,35,9,100000000
12,2,14,9,100000000
12,3,10,9,100000000
12,4,8,9,100000000
12,5,7,9,100000000
12,6,6,9,100000000
12,7,6,9,100000000
12,8,5,9,100000000
12,9,5,9,100000000
12,10,4,9,100000000
12,11,4,9,100000000
12,12,4,9,100000000
12,13,3,9,100000000
12,1,41,10,100000000
12,2,19,10,100000000
12,3,15,10,100000000
12,4,5,10,100000000
12,5,4,10,100000000
12,6,33,10,100000000
12,7,4,10,100000000
12,8,3,10,100000000
12,9,3,10,100000000
12,10,10,10,100000000
12,11,2,10,100000000
12,12,2,10,100000000
12,13,2,10,100000000
13,1,25,1,100000000
13,2,11,1,100000000
13,3,7,1,100000000
